prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
AVFX01,WGS,,BCT,Planktothrix prolifica NIVA-CYA 540,PRJNA212884,SAMN02261502,strain: NIVA-CYA 540,,5510105,171,0,Yes,2,0,5572106,No,KE734720-KE734721,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
AVFY01,WGS,,BCT,Planktothrix agardhii NIVA-CYA 56/3,PRJNA212883,SAMN02261503,strain: NIVA-CYA 56/3,,5485641,235,0,Yes,16,0,5425177,No,KE734722-KE734737,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
AVFZ01,WGS,,BCT,Planktothrix prolifica NIVA-CYA 98,PRJNA213369,SAMN00001876,strain: NIVA-CYA 98,,5627686,446,0,Yes,3,0,5724433,No,KE734738-KE734740,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
AXUV01,WGS,,BCT,Synechococcus sp. 65AY640,PRJNA210216,SAMN07981241,strain: 65AY640,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",3161008,6,2576,Yes,0,0,0,No,,,2017-11-07T00:00:00Z,2017-11-07T00:00:00Z
AXUW01,WGS,,BCT,Synechococcus sp. 65AY6A5,PRJNA210217,SAMN07981246,strain: 65AY6A5,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",2981827,9,2597,Yes,0,0,0,No,,,2017-11-07T00:00:00Z,2017-11-07T00:00:00Z
AXUX01,WGS,,BCT,Synechococcus sp. 63AY4M2,PRJNA210218,SAMN07981245,strain: 63AY4M2,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",3093974,3,2577,Yes,0,0,0,No,,,2017-11-07T00:00:00Z,2017-11-07T00:00:00Z
AXZO01,WGS,,BCT,Synechococcus sp. 65AY6Li,PRJNA209725,SAMN07981244,strain: 65AY6Li,"isolation_source: microbial mat located in an alkaline silicious hot spring\, Mushroom Spring\, in the Lower Geyser Basin",2933219,2,2632,Yes,0,0,0,No,,,2017-11-07T00:00:00Z,2017-11-07T00:00:00Z
AJHB01,WGS,,BCT,Microcystis aeruginosa FCY-26,PRJNA84433,SAMN07247203,strain: FCY-26,,3688689,1944,0,No,0,0,0,No,,,2017-06-20T00:00:00Z,2017-06-20T00:00:00Z
AJLJ01,WGS,,BCT,Fischerella muscicola SAG 1427-1 = PCC 73103,PRJNA104965,SAMN02469881,strain: SAG 1427-1 = PCC 73103,"isolation_source: soil\, rice field",7360256,524,0,No,0,0,0,No,,,2014-01-08T00:00:00Z,2012-12-05T00:00:00Z
AJLK01,WGS,,BCT,Fischerella muscicola PCC 7414,PRJNA104967,SAMN02469884,strain: PCC 7414,"isolation_source: water\, hot spring",6902954,271,0,No,0,0,0,No,,,2014-01-08T00:00:00Z,2012-12-05T00:00:00Z
AJLL01,WGS,,BCT,Fischerella thermalis PCC 7521,PRJNA104969,SAMN02469885,strain: PCC 7521,"isolation_source: water\, hot spring\, Mammoth Sinkhole II",5438272,141,0,No,0,0,0,No,,,2014-01-08T00:00:00Z,2012-12-05T00:00:00Z
AJLM01,WGS,,BCT,Chlorogloeopsis fritschii PCC 9212,PRJNA104963,SAMN02469882,strain: PCC 9212,"isolation_source: water\, thermal spring",7649851,188,0,No,0,0,0,No,,,2014-01-08T00:00:00Z,2012-12-05T00:00:00Z
AJLN01,WGS,,BCT,Chlorogloeopsis fritschii PCC 6912,PRJNA104961,SAMN02469883,strain: PCC 6912,isolation_source: soil,7751745,161,0,No,0,0,0,No,,,2014-01-08T00:00:00Z,2012-12-05T00:00:00Z
AJTX02,WGS,,BCT,Prochlorothrix hollandica PCC 9006 = CALU 1027,PRJNA63021,SAMN02470873,isolate: CALU 1027,isolation_source: mixed culture,5525469,10,3737,Yes,0,0,0,No,,,2016-11-01T00:00:00Z,2015-04-29T00:00:00Z
AJUB01,WGS,,BCT,Oscillatoriales cyanobacterium JSC-12,PRJNA66005,SAMN02261267,strain: JSC-12,,5528491,20,4780,Yes,1,0,5530491,No,CM001633-CM001633,,2013-07-23T00:00:00Z,2012-11-05T00:00:00Z
AJUS01,WGS,,BCT,Microcystis aeruginosa FCY-27,PRJNA91061,SAMN07248038,strain: FCY-27,,3683099,2045,0,No,0,0,0,No,,,2017-06-15T00:00:00Z,2017-06-15T00:00:00Z
AJUT01,WGS,,BCT,Microcystis aeruginosa FCY-28,PRJNA91063,SAMN07248037,strain: FCY-28,,3629438,1905,0,No,0,0,0,No,,,2017-06-15T00:00:00Z,2017-06-15T00:00:00Z
AJUU01,WGS,,BCT,Microcystis aeruginosa NIES-298,PRJNA91065,SAMN07248036,strain: NIES-298,,3703878,1894,0,No,0,0,0,No,,,2017-06-15T00:00:00Z,2017-06-15T00:00:00Z
AJWF01,WGS,,BCT,Anabaena sp. PCC 7108,PRJNA158737,SAMN02261341,strain: PCC 7108,isolation_source: intertidal zone,5885741,13,0,No,3,0,5886741,No,KB235895-KB235897,,2013-07-23T00:00:00Z,2013-01-17T00:00:00Z
AJYB01,WGS,,BCT,Planococcus antarcticus DSM 14505,PRJNA163681,SAMN02470076,strain: DSM 14505,isolation_source: cyanobacterial mat,3772109,160,3692,Yes,0,0,0,No,,,2014-01-08T00:00:00Z,2012-05-24T00:00:00Z
APIY01,WGS,,BCT,Dolichospermum circinale AWQC131C,PRJNA179122,SAMN02471998,strain: AWQC131C,isolation_source: fresh water from Lake Cargelligo on the Lachlan River,4407095,472,0,No,75,0,4238842,No,KE384588-KE384662,,2014-01-08T00:00:00Z,2013-07-12T00:00:00Z
APIZ01,WGS,,BCT,Dolichospermum circinale AWQC310F,PRJNA179123,SAMN02471999,strain: AWQC310F,isolation_source: fresh water,4387110,372,0,No,55,0,4310988,No,KE384663-KE384717,,2014-01-08T00:00:00Z,2013-07-12T00:00:00Z
ALPB01,WGS,,BCT,Prochlorococcus sp. W2,PRJNA169371,SAMN02470450,,isolation_source: 15m depth in Pacific Ocean,1266767,108,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPC01,WGS,,BCT,Prochlorococcus sp. W3,PRJNA169362,SAMN02470511,,isolation_source: 15m depth in Pacific Ocean,339045,197,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPD01,WGS,,BCT,Prochlorococcus sp. W4,PRJNA169363,SAMN02470471,,isolation_source: 15m depth in Pacific Ocean,765485,104,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPE01,WGS,,BCT,Prochlorococcus sp. W7,PRJNA169364,SAMN02470468,,isolation_source: 15m depth in Pacific Ocean,905221,109,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPF01,WGS,,BCT,Prochlorococcus sp. W8,PRJNA169365,SAMN02470472,,isolation_source: 15m depth in Pacific Ocean,841756,58,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPG01,WGS,,BCT,Prochlorococcus sp. W9,PRJNA169366,SAMN02470491,,isolation_source: 15m depth in Pacific Ocean,420150,211,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPH01,WGS,,BCT,Prochlorococcus sp. W10,PRJNA169367,SAMN02470451,,isolation_source: 15m depth in Pacific Ocean,561998,349,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPI01,WGS,,BCT,Prochlorococcus sp. W11,PRJNA169368,SAMN02470447,,isolation_source: 15m depth in Pacific Ocean,766829,158,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPJ01,WGS,,BCT,Prochlorococcus sp. W12,PRJNA169370,SAMN02470448,,isolation_source: 15m depth in Pacific Ocean,423437,232,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPK01,WGS,,BCT,Prochlorococcus sp. W6,PRJNA169510,SAMN02470492,,isolation_source: 15m depth in Pacific Ocean,385307,338,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALPL01,WGS,,BCT,Prochlorococcus sp. W5,PRJNA169509,SAMN02470473,,isolation_source: 15m depth in Pacific Ocean,99467,92,0,No,0,0,0,No,,,2015-07-29T00:00:00Z,2012-08-20T00:00:00Z
ALVI01,WGS,,BCT,Kamptonema formosum PCC 6407,PRJNA158733,SAMN02261340,strain: PCC 6407,isolation_source: fresh water,6883860,114,0,No,12,0,6894060,No,KB235898-KB235909,,2013-07-23T00:00:00Z,2013-01-17T00:00:00Z
ALVJ01,WGS,,BCT,Calothrix sp. PCC 7103,PRJNA159495,SAMN02261256,strain: PCC 7103,isolation_source: herbarium material of Anacystis montana,11578293,73,0,No,12,0,11584393,No,KB217472-KB217483,,2013-07-23T00:00:00Z,2013-01-07T00:00:00Z
ALVK01,WGS,,BCT,Pseudanabaena sp. PCC 6802,PRJNA158731,SAMN02261339,strain: PCC 6802,,5619683,28,0,No,6,0,5621883,No,KB235910-KB235915,,2013-07-23T00:00:00Z,2013-01-17T00:00:00Z
ALVL01,WGS,,BCT,Pleurocapsa sp. PCC 7319,PRJNA158813,SAMN02261343,strain: PCC 7319,isolation_source: snail shell,7384997,30,0,No,10,0,7386997,No,KB235916-KB235925,,2013-07-23T00:00:00Z,2013-01-17T00:00:00Z
ALVM01,WGS,,BCT,Leptolyngbya boryana PCC 6306,PRJNA158729,SAMN02261250,strain: PCC 6306,isolation_source: unialgal culture in lake water,7261054,19,0,No,5,0,7262454,No,KB731324-KB731328,,2013-07-23T00:00:00Z,2013-04-03T00:00:00Z
ALVN01,WGS,,BCT,Leptolyngbya sp. PCC 7375,PRJNA43137,SAMN02256520,strain: PCC 7375,isolation_source: plankton,9422068,14,7828,Yes,5,0,9422968,No,JH993793-JH993797,,2013-07-23T00:00:00Z,2012-11-27T00:00:00Z
ALVO01,WGS,,BCT,Geminocystis herdmanii PCC 6308,PRJNA62511,SAMN02256519,strain: PCC 6308,isolation_source: unialgal culture in lake water,4262418,11,0,No,1,0,4263418,No,CM001775-CM001775,,2013-07-23T00:00:00Z,2013-01-17T00:00:00Z
ALVP01,WGS,,BCT,Nodosilinea nodulosa PCC 7104,PRJNA62311,SAMN02261265,strain: PCC 7104,isolation_source: rock at shoreline,6885283,62,0,No,2,0,6891283,No,JH976537-JH976538,,2013-07-23T00:00:00Z,2012-11-01T00:00:00Z
ALVQ01,WGS,,BCT,Spirulina major PCC 6313,PRJNA158715,SAMN02744077,strain: PCC 6313,isolation_source: brackish water,5049053,13,0,No,2,0,5050153,No,KV878782-KV878783,,2016-12-07T00:00:00Z,2016-11-18T00:00:00Z
ALVR01,WGS,,BCT,Spirulina subsalsa PCC 9445,PRJNA158827,SAMN02261255,strain: PCC 9445,,5322800,10,0,No,1,0,5218291,No,JH980292-JH980292,,2013-07-23T00:00:00Z,2012-11-05T00:00:00Z
ALVS01,WGS,,BCT,Fischerella sp. PCC 9339,PRJNA159505,SAMN02261257,strain: PCC 9339,,8000057,95,0,No,13,0,8008257,No,JH992886-JH992898,,2013-07-23T00:00:00Z,2012-11-27T00:00:00Z
ALVT01,WGS,,BCT,Fischerella sp. PCC 9605,PRJNA158819,SAMN02597161,strain: PCC 9605,,8076981,34,0,No,7,0,7577415,No,KI912148-KI912154,,2014-02-07T00:00:00Z,2014-01-08T00:00:00Z
ALVU02,WGS,,BCT,Synechocystis sp. PCC 7509,PRJNA159501,SAMN02261355,strain: PCC 7509,,4908425,8,0,No,2,0,350775,No,KI966369-KI966370,,2014-02-06T00:00:00Z,2014-01-23T00:00:00Z
ALVV02,WGS,,BCT,Leptolyngbya sp. PCC 6406,PRJNA159511,SAMN02261357,strain: PCC 6406,,5769257,80,0,No,3,0,5776957,No,KI913949-KI913951,,2014-01-15T00:00:00Z,2014-01-13T00:00:00Z
ALVW01,WGS,,BCT,Mastigocladopsis repens PCC 10914,PRJNA158735,SAMN02261251,strain: PCC 10914,,6463955,20,0,No,3,0,6465655,No,JH992899-JH992901,,2013-07-23T00:00:00Z,2012-11-27T00:00:00Z
ALVX01,WGS,,BCT,Fischerella sp. PCC 9431,PRJNA158821,SAMN02441755,strain: PCC 9431,,7164046,43,0,No,3,0,6794306,No,KE650771-KE650773,,2013-12-12T00:00:00Z,2013-08-15T00:00:00Z
ALVY01,WGS,,BCT,Gloeocapsa sp. PCC 73106,PRJNA159497,SAMN02261353,strain: PCC 73106,isolation_source: sphagnum bog,4025114,228,4087,Yes,0,0,0,No,,,2013-07-23T00:00:00Z,2013-01-17T00:00:00Z
ALVZ01,WGS,,BCT,Xenococcus sp. PCC 7305,PRJNA159499,SAMN02261354,strain: PCC 7305,isolation_source: marine aquarium,5929641,234,5373,Yes,0,0,0,No,,,2013-07-23T00:00:00Z,2013-01-17T00:00:00Z
ALWA01,WGS,,BCT,cyanobacterium PCC 7702,PRJNA158823,SAMN02261344,strain: PCC 7702,,4840140,42,0,No,4,0,4903153,No,KB235926-KB235929,,2013-07-23T00:00:00Z,2013-01-18T00:00:00Z
ALWB01,WGS,,BCT,Pseudanabaena biceps PCC 7429,PRJNA158837,SAMN02261350,strain: PCC 7429,isolation_source: Sphagnum bog near Kastanienbaum,5476421,464,4757,Yes,0,0,0,No,,,2013-07-23T00:00:00Z,2013-01-18T00:00:00Z
ALWC01,WGS,,BCT,Synechococcus sp. PCC 7336,PRJNA158719,SAMN02261338,strain: PCC 7336,isolation_source: sea water from a tank,5065937,8,0,No,1,0,5066637,No,CM001776-CM001776,,2013-07-23T00:00:00Z,2013-01-18T00:00:00Z
ALWD01,WGS,,BCT,[Scytonema hofmanni] UTEX 2349,PRJNA63425,SAMN00203911,strain: UTEX 2349,,8118644,163,0,No,6,0,7569835,No,KK073764-KK073769,,2014-08-01T00:00:00Z,2014-02-27T00:00:00Z
BDGE01,WGS,,BCT,Nostoc cycadae WK-1,PRJDB4931,SAMD00053836,strain: WK-1,,6773844,150,5465,Yes,68,0,6994461,No,DF978421-DF978488,,2017-12-23T00:00:00Z,2017-12-23T00:00:00Z
BDQK01,WGS,,BCT,Aphanothece sacrum FPU1,PRJDB5293,SAMD00066878,strain: FPU1,,4493232,20,4352,Yes,0,0,0,No,,,2018-11-30T00:00:00Z,2018-11-30T00:00:00Z
BDQL01,WGS,,BCT,Aphanothece sacrum FPU3,PRJDB5302,SAMD00066879,strain: FPU3,,4486313,95,4326,Yes,0,0,0,No,,,2018-11-30T00:00:00Z,2018-11-30T00:00:00Z
AWNH01,WGS,,BCT,Leptolyngbya sp. Heron Island J,PRJNA215004,SAMN02469314,strain: Heron Island J,,8064168,119,7223,Yes,0,0,0,No,,,2014-02-28T00:00:00Z,2013-10-25T00:00:00Z
AXAQ01,WGS,,BCT,Mastigocoleus testarum BC008,PRJNA163055,SAMN02440714,strain: BC008,,15865652,977,0,No,2,0,15596,No,KI421473-KI421474,,2013-12-12T00:00:00Z,2013-09-30T00:00:00Z
JMIX01,WGS,,BCT,Erythrobacter litoralis,PRJNA245372,SAMN02737002,strain: DSM 8509,isolation_source: Marine cyanobacterial mat,3213871,22,2981,Yes,0,0,0,No,,,2014-07-31T00:00:00Z,2014-06-27T00:00:00Z
JMKF01,WGS,,BCT,[Leptolyngbya] sp. JSC-1,PRJNA62993,SAMN02743038,strain: JSC-1,,7577955,122,0,No,2,0,7866824,No,KL662191-KL662192,,2014-10-02T00:00:00Z,2014-07-25T00:00:00Z
JMRP01,WGS,,BCT,Cyanobium sp. CACIAM 14,PRJNA246088,SAMN02767986,,"isolation_source: 5 liters of water from the Tucurui Power Plant Reservoir\, point M5 collected 50cm beneath the lake surface\, then filtered by negative pressure for posterior culture in BG-11 medium,metagenome_source: freshwater metagenome",3212489,71,2935,Yes,0,0,0,No,,,2014-06-16T00:00:00Z,2014-06-16T00:00:00Z
JNAG01,WGS,,BCT,Prochlorococcus marinus str. EQPAC1,PRJNA246696,SAMN02769549,strain: EQPAC1,,1654739,8,1935,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAH01,WGS,,BCT,Prochlorococcus marinus str. GP2,PRJNA246696,SAMN02769550,strain: GP2,,1624310,11,1863,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAI01,WGS,,BCT,Prochlorococcus marinus str. MIT 9107,PRJNA246696,SAMN02769552,strain: MIT 9107,,1699937,13,1963,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAJ01,WGS,,BCT,Prochlorococcus marinus str. MIT 9116,PRJNA246696,SAMN02769553,strain: MIT 9116,,1685398,22,1946,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAK01,WGS,,BCT,Prochlorococcus marinus str. MIT 9123,PRJNA246696,SAMN02769554,strain: MIT 9123,,1697748,18,1981,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAL01,WGS,,BCT,Prochlorococcus marinus str. MIT 9201,PRJNA246696,SAMN02769555,strain: MIT 9201,,1672416,21,1962,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAM01,WGS,,BCT,Prochlorococcus marinus str. MIT 9302,PRJNA246696,SAMN02769556,strain: MIT 9302,,1745343,17,1996,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAN01,WGS,,BCT,Prochlorococcus marinus str. MIT 9311,PRJNA246696,SAMN02769557,strain: MIT 9311,,1711064,17,1969,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAO01,WGS,,BCT,Prochlorococcus marinus str. MIT 9314,PRJNA246696,SAMN02769558,strain: MIT 9314,,1690556,16,1973,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAP01,WGS,,BCT,Prochlorococcus marinus str. MIT 9321,PRJNA246696,SAMN02769559,strain: MIT 9321,,1658664,10,1936,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAQ01,WGS,,BCT,Prochlorococcus marinus str. MIT 9322,PRJNA246696,SAMN02769560,strain: MIT 9322,,1657550,11,1939,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAR01,WGS,,BCT,Prochlorococcus marinus str. MIT 9401,PRJNA246696,SAMN02769561,strain: MIT 9401,,1666808,17,1954,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAS01,WGS,,BCT,Prochlorococcus marinus str. SB,PRJNA246696,SAMN02769562,strain: SB,,1669823,4,1911,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAT01,WGS,,BCT,Prochlorococcus marinus str. LG,PRJNA246696,SAMN02769565,strain: LG,,1754063,14,1956,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAU01,WGS,,BCT,Prochlorococcus sp. MIT 0601,PRJNA246696,SAMN02769566,strain: MIT 0601,,1707342,6,1908,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAV01,WGS,,BCT,Prochlorococcus sp. MIT 0602,PRJNA246696,SAMN02769567,strain: MIT 0602,,1750918,9,1970,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAW01,WGS,,BCT,Prochlorococcus sp. MIT 0603,PRJNA246696,SAMN02769568,strain: MIT 0603,,1752482,7,1998,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAX01,WGS,,BCT,Prochlorococcus marinus str. PAC1,PRJNA246696,SAMN02769564,strain: PAC1,,1841163,20,2229,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAY01,WGS,,BCT,Prochlorococcus marinus str. SS2,PRJNA246696,SAMN02769569,strain: SS2,,1752772,19,1971,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNAZ01,WGS,,BCT,Prochlorococcus marinus str. SS35,PRJNA246696,SAMN02769570,strain: SS35,,1751015,9,1959,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNBA01,WGS,,BCT,Prochlorococcus sp. MIT 0701,PRJNA246696,SAMN02769573,strain: MIT 0701,,2592571,53,3027,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNBB01,WGS,,BCT,Prochlorococcus sp. MIT 0702,PRJNA246696,SAMN02769574,strain: MIT 0702,,2583057,61,3016,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNBC01,WGS,,BCT,Prochlorococcus sp. MIT 0703,PRJNA246696,SAMN02769575,strain: MIT 0703,,2575057,61,3004,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNBD01,WGS,,BCT,Prochlorococcus marinus str. SS51,PRJNA246696,SAMN02769571,strain: SS51,,1746977,12,1958,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
JNBE01,WGS,,BCT,Prochlorococcus sp. SS52,PRJNA246696,SAMN02769572,strain: SS52,,1754053,22,1968,Yes,0,0,0,No,,,2014-10-06T00:00:00Z,2014-09-29T00:00:00Z
LAHE01,WGS,,BCT,Nostoc linckia z9,PRJNA274736,SAMN03338905,strain: z9,,8951761,325,6952,Yes,0,0,0,No,,,2017-10-20T00:00:00Z,2017-10-20T00:00:00Z
LAHF01,WGS,,BCT,Nostoc linckia z13,PRJNA274736,SAMN03338908,strain: z13,,9177463,566,7175,Yes,0,0,0,No,,,2017-10-20T00:00:00Z,2017-10-20T00:00:00Z
LAHG01,WGS,,BCT,Nostoc linckia z14,PRJNA274736,SAMN03338909,strain: z14,,8997043,345,6998,Yes,0,0,0,No,,,2017-10-20T00:00:00Z,2017-10-20T00:00:00Z
LAHH01,WGS,,BCT,Nostoc linckia z15,PRJNA274736,SAMN03338910,strain: z15,,9597019,789,7662,Yes,0,0,0,No,,,2017-10-20T00:00:00Z,2017-10-20T00:00:00Z
LAHI01,WGS,,BCT,Nostoc linckia z16,PRJNA274736,SAMN03338911,strain: z16,,9936114,712,8020,Yes,0,0,0,No,,,2017-10-20T00:00:00Z,2017-10-20T00:00:00Z
LAHJ01,WGS,,BCT,Nostoc linckia z18,PRJNA274736,SAMN03338913,strain: z18,,8898113,255,6886,Yes,0,0,0,No,,,2017-10-20T00:00:00Z,2017-10-20T00:00:00Z
